"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"18209","GO:0141218",1,0.535861508063018,0,6,"NAD-dependent protein lysine deacylase activity","MF",1
"18214","GO:0150005",1,0.192860851598966,0,16,"enzyme activator complex","CC",1
"18216","GO:0150011",1,0.0941684976954055,0,15,"regulation of neuron projection arborization","BP",1
"18217","GO:0150012",1,0.301083233299287,0,8,"positive regulation of neuron projection arborization","BP",1
"18220","GO:0150018",1,0.643464538786953,0,3,"basal dendrite development","BP",1
"18221","GO:0150019",1,0.643464538786953,0,3,"basal dendrite morphogenesis","BP",1
"18222","GO:0150020",1,0.643464538786953,0,3,"basal dendrite arborization","BP",1
"18238","GO:0150047",1,0.654555088592348,0,3,"G protein-coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential","MF",1
"18239","GO:0150048",1,0.646126753122782,0,3,"cerebellar granule cell to Purkinje cell synapse","CC",1
"18243","GO:0150054",1,0.622029427321292,0,3,"regulation of postsynaptic neurotransmitter receptor diffusion trapping","BP",1
"18247","GO:0150059",1,0.712962391856804,0,4,"amylin receptor 1 signaling pathway","BP",1
"18248","GO:0150060",1,0.716931690908219,0,4,"amylin receptor 2 signaling pathway","BP",1
"18249","GO:0150061",1,0.740339691076444,0,3,"amylin receptor 3 signaling pathway","BP",1
"18250","GO:0150062",1,0.624823822095004,0,4,"complement-mediated synapse pruning","BP",1
"18252","GO:0150064",1,0.667406652575012,0,3,"vertebrate eye-specific patterning","BP",1
"18263","GO:0150098",1,0.60002282168933,0,4,"glial cell-neuron signaling","BP",1
"18264","GO:0150099",1,0.534503816803581,0,5,"neuron-glial cell signaling","BP",1
"18266","GO:0150102",1,0.691037078061314,0,3,"negative regulation of monocyte activation","BP",1
"18267","GO:0150103",1,0.502515509548118,0,6,"reactive gliosis","BP",1
"18272","GO:0150111",1,0.742766198319113,0,3,"regulation of transepithelial transport","BP",1
"18283","GO:0150172",1,0.312439328718969,0,10,"regulation of phosphatidylcholine metabolic process","BP",1
"18284","GO:0150173",1,0.699330767014595,0,3,"positive regulation of phosphatidylcholine metabolic process","BP",1
"18291","GO:0160002",1,0.47340716068236,0,7,"ADP-D-ribose modification-dependent protein binding","MF",1
"18292","GO:0160004",1,0.598694076516665,0,5,"poly-ADP-D-ribose modification-dependent protein binding","MF",1
"18305","GO:0160025",1,0.728889556843248,0,3,"sensory perception of itch","BP",1
"18307","GO:0160040",1,0.410410947320206,0,5,"mitocytosis","BP",1
"18316","GO:0160063",1,0.318423816622902,0,9,"multi-pass transmembrane protein insertion into ER membrane","BP",1
"18317","GO:0160064",1,0.318423816622902,0,9,"multi-pass translocon complex","CC",1
"18323","GO:0160077",1,0.645012136846346,0,4,"lipid droplet fusion","BP",1
"18331","GO:0160091",1,0.480316411471364,0,4,"spliceosome-depend formation of circular RNA","BP",1
"18332","GO:0160093",1,0.635585491299415,0,3,"chordate pharynx development","BP",1
"18339","GO:0160112",1,0.540334084861535,0,6,"axonemal B tubule inner sheath","CC",1
"18345","GO:0160127",1,0.744615170864337,0,3,"protein-RNA covalent cross-linking repair","BP",1
"18346","GO:0160128",1,0.415698541745288,0,8,"pH-gated monoatomic ion channel activity","MF",1
"18350","GO:0160133",1,0.749862917861334,0,3,"bicarbonate channel activity","MF",1
"18353","GO:0160144",1,0.545157005751658,0,6,"GDF15-GFRAL signaling pathway","BP",1
"18356","GO:0160148",1,0.709271625238493,0,3,"tRNA pseudouridine(55) synthase activity","MF",1
"18359","GO:0160157",1,0.58068222957463,0,4,"branched-chain alpha-ketoacid dehydrogenase complex","CC",1
"18360","GO:0160162",1,0.656104989439337,0,5,"CD27 signaling pathway","BP",1
"18364","GO:0160167",1,0.66520982527492,0,3,"oxoadipate dehydrogenase complex","CC",1
"18369","GO:0160183",1,0.675656079991487,0,4,"autophagosome-membrane adaptor activity","MF",1
"18370","GO:0160184",1,0.565084675539297,0,6,"paracellular transport","BP",1
"18371","GO:0160185",1,0.649052701991828,0,3,"phospholipase C activator activity","MF",1
"18372","GO:0160187",1,0.617988313666311,0,5,"paracellular tight junction channel activity","MF",1
"18379","GO:0160203",1,0.759763219340437,0,3,"mitochondrial disulfide relay system","BP",1
"18380","GO:0160204",1,0.79874111361242,0,3,"mitochondrion-mitochondrion outer membrane tether activity","MF",1
"18382","GO:0160212",1,0.626061807787763,0,3,"glycine-gated cation channel activity","MF",1
"18383","GO:0160213",1,0.558827058671721,0,5,"beta-arrestin-dependent dopamine receptor signaling pathway","BP",1
"18387","GO:0160217",1,0.712398306736302,0,3,"negative regulation of transcription initiation-coupled chromatin remodeling","BP",1
"18397","GO:0160239",1,0.597109314439532,0,5,"transcription pausing by RNA polymerase II","BP",1
"18400","GO:0160247",1,0.675656079991487,0,4,"autophagy cargo adaptor activity","MF",1
"18404","GO:0170009",1,0.675656079991487,0,4,"endoplasmic reticulum-organelle membrane tether activity","MF",1
"18405","GO:0170011",1,0.651251236828043,0,4,"stalled ribosome sensor activity","MF",1
"18407","GO:0170027",1,0.726252848378777,0,3,"SKA complex","CC",1
"18425","GO:0170060",1,0.3669942698555,0,7,"microtubule destabilizing activity","MF",1
"18445","GO:0180026",1,0.742461508768702,0,3,"mitochondrial small ribosomal subunit assembly","BP",1
